Time (min),Blood Glucose (mg/dl),Sensor Glucose Readings(mg/dl)
380,80.99130765044265,75.53593102943407
381,83.07682001082713,74.98586908922132
382,85.54714706458459,74.56334109047253
383,88.3956962809445,74.2865248116448
384,91.61111620115217,74.3063918173546
385,95.17781900763029,74.63603505021054
386,99.0764151405141,75.28578974033428
387,103.2840795788969,76.26315663003756
388,107.7748704137095,77.57276272667954
389,112.5200227815404,79.21635294525353
390,117.4882443285807,81.1928088169497
391,122.6460406563919,83.49819325668223
392,127.9580985767296,86.12582303547424
393,133.3877492892155,89.06637274356444
394,138.8975215224779,92.3080151758771
395,144.4497770414926,95.83660275753097
396,150.0074011539694,99.63589262172232
397,155.5345042771049,103.6878144517299
398,160.9970824080302,107.9727758718244
399,166.3635870792498,112.3301565655636
400,171.6053679157646,116.7383363315001
401,176.6969690371641,121.1752066555598
402,181.6162790731703,125.6185100433749
403,186.3445493767923,130.0461561403592
404,190.8663041547175,134.4365059053514
405,195.1691697430698,138.7686182229139
406,199.2436244065086,143.0224563525107
407,203.081656893374,147.1790110699716
408,206.6781572915409,151.2203717877443
409,210.0308834063186,155.129927303914
410,213.139397350667,158.8924438223041
411,216.0048239969277,162.4940922009425
412,218.629628007597,165.9224518423355
413,221.0174110298196,169.1664950839799
414,223.1727293049357,172.3182176674399
415,225.1009310769535,175.3692705740779
416,226.8080126589756,178.3125680363303
417,228.3004917338816,181.1422262633648
418,229.5852963475281,183.8534970080254
419,230.669668042202,186.4426977803109
420,231.5610776342051,188.9071402126795
421,232.2671522339298,191.2450578164858
422,232.7956122205186,193.4555341363063
423,233.1542170037185,195.5384321079017
424,233.3507185250148,197.4943252534918
425,233.3928215638996,199.3244312019464
426,233.2881500206744,201.0305478984415
427,233.0442184433546,202.6149927652267
428,232.6684081527812,204.0805449897191
429,232.1679473972211,205.4077955551709
430,231.5498950361255,206.6002870245505
431,230.8211273130466,207.6618701359056
432,229.9883273307739,208.596659136014
433,229.057976888313,209.4089902967677
434,228.0363503801536,210.1033835264442
435,226.9295104940322,210.684506970633
436,225.7433054747254,211.1571444847811
437,224.4833677488604,211.5261658513046
438,223.1551137298047,211.7964996083237
439,221.7637446428269,211.973108353743
440,220.3142482292802,212.0609663871486
441,218.8114012048964,212.0650395524223
442,217.2597723616616,211.9902671457389
443,215.6637262154363,211.8415457564379
444,214.027427112694,211.552164562659
445,212.3548437196753,211.1268933541164
446,210.6497538260423,210.5704210666629
447,208.9157494029223,209.8873461107808
448,207.1562418621624,209.082168035158
449,205.3744674697898,208.1592804211229
450,203.5745447828507,207.122990978081
451,201.7614554188489,205.9776726516354
452,199.9378095789352,204.7276264006887
453,198.1059674684145,203.3769887716717
454,196.2675876868276,201.9297052609565
455,194.4246902902069,200.3895243164778
456,192.5793661350897,198.7600470778545
457,190.7335834281584,197.0447331370316
458,188.8891919980505,195.2469024331394
459,187.0479276712925,193.4895861283141
460,185.2114167032939,191.7758314042526
461,183.3811802253443,190.1085527353654
462,181.5586386765615,188.4905345737567
463,179.7451161961615,186.924434189765
464,177.941844956586,185.4127846495701
465,176.1499694221983,183.9579979114835
466,174.3705505216427,182.5623680229758
467,172.6045697247113,181.2280744011703
468,170.8529330168142,179.957185180367
469,169.1164747659893,178.7516606111062
470,167.3959614789062,177.6133564962912
471,165.6920954435731,176.5440276509319
472,164.0055182574933,175.5453313731246
473,162.3368142408826,174.6188309149239
474,160.6865137352818,173.6818278958451
475,159.055096288501,172.7357078374153
476,157.4429937273385,171.7817725287543
477,155.8505931199453,170.8212434034564
478,154.2782396300618,169.8552648742099
479,152.7262392656595,168.8849076193411
480,151.1948615247732,167.911171816232
481,149.6843419415305,166.9349903172758
482,148.1948845355664,165.9572317647067
483,146.7266641681691,164.9787036412586
484,145.2798288086425,164.0001552541964
485,143.8545017144817,163.0222806507961
486,142.4507835290667,162.0457214638581
487,141.0687543006682,161.0710696862988
488,139.7084754266445,160.0988703742976
489,138.3699915267864,159.0884823536747
490,137.0533322498424,158.0403646305628
491,135.7585140173328,156.9549369557398
492,134.4855417088372,155.8325822443512
493,133.2344102930229,154.6736489270294
494,132.0051064087675,153.4784532338967
495,130.7976099008289,152.2472814132059
496,129.611895314621,150.9803918866156
497,128.4479333547776,149.6780173433381
498,127.3056923123225,148.340366775617
499,126.1851394654213,146.9676274582201
500,125.086242458867,145.5599668748384
501,124.0089706676548,144.1175345945007
502,122.9532965502266,142.6404641013228
503,121.9191969972277,141.1288745811256
504,120.9066546819098,139.6535992112966
505,119.9156594186398,138.2147337874052
506,118.9462095363473,136.8123649465052
507,117.9983132741538,135.4465718211292
508,117.0719902068845,134.1174276713383
509,116.167272708676,132.8250014998629
510,115.2842074634523,131.5693596556808
511,114.4228570316581,130.3505674317159
512,113.5833014833094,129.1686906627019
513,112.7656401081452,128.0237973296539
514,111.9699932144381,126.915959177811
515,111.1965040288369,125.845253355378
516,110.4453407104575,124.8117640808818
517,109.7166984932922,123.8155843474867
518,109.0108019718335,122.8568176731643
519,108.3279075455732,121.9216924870236
520,107.6683060386659,121.0103388385263
521,107.0323255114554,120.1229029252268
522,106.4203342806284,119.2595491268981
523,105.832744164314,118.4204621385498
524,105.2700139672517,117.6058492143895
525,104.7326532189082,116.8159425349548
526,104.2212261737032,116.05100170955
527,103.7363560767592,115.3113164256059
528,103.2787296900885,114.59720925548
529,102.8491020619008,113.9090386292824
530,102.4483015045262,113.2472019792401
531,102.0772347226802,112.6121390564787
532,101.7368920014546,112.0043354143769
533,101.4283523199716,111.424326043123
534,101.1527881991004,110.8654311480337
535,100.9114700164895,110.3282959406382
536,100.7057694256155,109.8136264986648
537,100.5371613938163,109.3221935081732
538,100.4072242243959,108.8548357655977
539,100.3176367489317,108.4124632441417
540,100.270171671052,107.9960594641339
541,100.2666838224376,107.6066828286848
542,100.3090918770519,107.245466494968
543,100.3993518980333,106.9136162509206
544,100.5394210213613,106.6124057643354
545,100.7312096923417,106.3431684790668
546,100.9765212652511,106.107285371297
547,101.2769785574861,105.9061677750166
548,101.6339381949695,105.7412345735496
549,102.048395299013,105.5907034801871
550,102.5208831202654,105.4559154337832
551,103.0513743261196,105.3381137839718
552,103.6391923344384,105.2383984644465
553,104.2829418234259,105.1576771193725
554,104.9804668911586,105.0966155808455
555,105.7288431324905,105.0555905524925
556,106.524406407802,105.0346475093969
557,107.3628169548437,105.0334666164557
558,108.2391536014277,105.0513389108441
559,109.1480299510691,105.0871541787106
560,110.0837229917967,105.1394010194247
561,111.0403046602184,105.2061786801622
562,112.0117681716312,105.2852194803173
563,112.9921429159029,105.3739201020345
564,113.9755939261032,105.4927426174417
565,114.9565039731837,105.6385315605788
566,115.929538002372,105.8079224084222
567,116.8896908249936,105.9973880865897
568,117.8323197335876,106.2032848783474
569,118.7531640938724,106.4218965259814
570,119.6483540784798,106.6494756141604
571,120.5144106343074,106.8822815994036
572,121.3482385922096,107.1166150874544
573,122.1471145902124,107.3488481573507
574,122.9086712276959,107.5754506878963
575,123.6308786221064,107.7930127624209
576,124.3120243152508,107.9982633158641
577,124.9506922793871,108.1880852494684
578,125.5457416057547,108.3595272777285
579,126.0962853187428,108.5585213758048
580,126.6016696449494,108.7824717967079
581,127.0614539746853,109.0289674414621
582,127.475391680682,109.2957835417121
583,127.8434119016956,109.5808815082552
584,128.1656023545167,109.8824072005683
585,128.4421932041453,110.1986878535522
586,128.6735419964806,110.5282278779169
587,128.8601196390904,110.8697037306449
588,129.0024974020507,111.2219580323382
589,129.1013349013315,111.5839930893635
590,129.1573690208463,111.9549639608073
591,129.1714037253318,112.3341711935124
592,129.1443007141178,112.721053332958
593,129.0769708651129,113.1151793035118
594,128.9703664186277,113.4682902788362
595,128.8254738516885,113.7801929503811
596,128.6433073950605,114.0508014935443
597,128.4249031471189,114.2801301194099
598,128.1713137408604,114.4682857926639
599,127.8836035226405,114.6154611485971
600,127.5628442035678,114.7219276355281
601,127.2101109468473,114.7880289031996
602,126.8264788566885,114.8141744526551
603,126.4130198366585,114.8008335587182
604,125.9707997875385,114.7485294724041
605,125.5008761168331,114.6578339073368
606,125.0042956537144,114.5293618126524
607,124.4782440728871,114.3636564676443
608,123.9139681438481,114.1606244059083
609,123.306714095518,113.9609311750906
610,122.657882845071,113.7637751588544
611,121.9708838489266,113.5686691992728
612,121.2495587775873,113.3754986231137
613,120.4984452632597,113.1845314750208
614,119.7236980092438,112.9964856378608
615,118.9340858030119,112.812682339948
616,118.1409153284735,112.6352366689227
617,117.3561362493439,112.4671393899671
618,116.5899872726703,112.312123214629
619,115.8500051676626,112.1743839661612
620,115.1413933099908,112.0583059236782
621,114.4678192557181,111.9682710233336
622,113.8322503071102,111.9085529203069
623,113.2401803855723,111.8834180788285
624,112.6926631327826,111.846909358508
625,112.1888079441369,111.8028390570393
626,111.7272344513744,111.7545734483074
627,111.3061235116928,111.7050312596299
628,110.9232584450976,111.656686408501
629,110.5760594574564,111.6115738687722
630,110.2616146880797,111.5712979246523
631,109.9767118011064,111.5370424699815
632,109.7178742665696,111.5095834070746
633,109.4814061601971,111.4893035583131
634,109.2634482009932,111.4762107668793
635,109.0600457806312,111.4699599629734
636,108.8672271764626,111.4698798554032
637,108.681087567516,111.4750045660803
